Timestamp,What is your age?,What is your gender?,Espresso,Double Espresso,Americano,Cappuccino,Latte,Flat White,Macchiato,Cortado,Affogato,  Mocha  ,What time of day do you normally drink the drinks in this category?,Oat Milk Latte,Almond Milk Latte,  Soy Milk Latte  ,Coconut Milk Latte,Oat Milk Americano,Almond Milk Americano,Soy Milk Americano,Coconut Milk Americano,Oat Milk Cappuccino,"Almond Milk Cappuccino
",Soy Milk Cappuccino,Coconut Milk Cappuccino,What time of day do you normally drink the drinks in this category?,Iced Americano,Iced Latte,Iced Vanilla Latte,Iced Caramel Latte,Cold Brew,What time of day do you normally drink the drinks in this category?,Decaf Americano,Decaf Espresso,  Decaf Cappuccino  ,  Decaf Latte  ,Decaf Flat White,What time of day do you normally drink the drinks in this category?,  Vienna Coffee  ,  Irish Coffee  ,  Turkish Coffee  ,  Pour Over  ,What time of day do you normally drink the drinks in this category?,  Pumpkin Spice Latte  ,  Salted Caramel Latte  ,  Vanilla Latte  ,  Caramel Latte  ,  Gingerbread Latte  ,  Hazelnut Latte  ,What time of day do you normally drink the drinks in this category?,Matcha Latte,Chai Latte,Peppermint Latte,Dirty Chai,What time of day do you normally drink the drinks in this category?,Chamomile Tea,  Peppermint Tea  ,  Ginger Tea  ,  Lavender Tea  ,  Hibiscus Tea  ,What time of day do you normally drink the drinks in this category?,Irish Tea,Irish Tea with Milk,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,What time of day do you normally drink the drinks in this category?,"
Espresso
Question Type
to
1
"
2/13/2026 11:34:30,18 - 24,Male,,,2,5,5,,,,,,Morning,5,,,,,,,,5,,,,Morning,,5,,5,,Afternoon,,,,,,,,,,,,,,,5,,,Morning,,,,,,,4,3,,,Afternoon,3,5,Afternoon,,,,,,,,,,
2/13/2026 11:36:34,18 - 24,Male,3,2,1,5,4,4,1,1,1,4,Morning,3,3,2,3,1,1,1,1,4,4,2,4,Morning,1,4,5,5,1,Afternoon,1,1,3,3,3,Afternoon,1,4,1,1,Morning,3,3,1,3,3,3,Afternoon,2,2,2,2,Afternoon,2,4,4,3,1,Night,5,5,Afternoon,,,,,,,,,,
2/13/2026 12:08:44,18 - 24,Male,,1,2,2,5,5,1,1,1,5,Morning,1,1,1,1,1,1,1,1,1,1,1,1,Morning,3,2,3,4,1,Morning,1,1,1,1,1,Morning,1,1,1,4,Morning,1,3,2,5,1,1,Morning,1,1,1,1,Morning,1,1,1,1,1,Morning,1,5,Morning,,,,,,,,,,
2/13/2026 12:11:01,18 - 24,Male,5,5,5,2,2,4,2,2,2,1,Morning,4,1,1,1,3,1,1,1,1,1,1,1,Afternoon,5,3,1,1,5,Morning,1,1,1,1,1,Morning,,5,,,Night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/13/2026 12:20:44,18 - 24,Male,4,5,4,3,2,3,2,5,3,3,Afternoon,2,2,1,1,2,2,1,2,2,2,2,2,Afternoon,3,2,2,3,3,Afternoon,3,3,,,,Afternoon,,3,3,,Afternoon,2,3,3,3,,3,Afternoon,2,1,1,1,Afternoon,2,2,2,2,2,Afternoon,4,3,Afternoon,,,,,,,,,,
2/13/2026 13:39:54,46 - 55,Female,2,1,1,3,3,3,3,1,1,1,Morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,Afternoon,5,5,Afternoon,,,,,,,,,,
2/13/2026 15:34:44,<18,Female,1,1,1,,,,,,,,Night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Morning,,,,,,,,,,
2/13/2026 16:01:33,36 - 45,Female,5,5,5,5,5,5,5,3,3,5,Morning,5,5,1,1,1,1,1,1,5,5,1,1,Morning,1,5,1,1,1,Morning,5,1,5,5,5,Morning,1,5,1,1,Morning,5,1,5,5,5,5,Morning,3,1,1,1,Morning,5,5,5,1,5,Morning,5,1,Morning,,,,,,,,,,
2/13/2026 17:14:54,36 - 45,Male,4,4,3,3,4,5,5,4,5,4,Afternoon,3,3,3,4,3,3,3,4,3,3,3,4,Afternoon,3,4,5,5,3,Afternoon,2,2,2,2,2,,3,5,4,,Night,2,5,4,5,2,3,Afternoon,,2,,,Afternoon,2,3,2,,,Night,5,3,Night,,,,,,,,,,
2/14/2026 18:22:23,18 - 24,Male,1,1,1,1,1,,1,,,3,Morning,2,1,2,2,4,4,1,4,3,3,3,2,Afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2026 8:46:50,46 - 55,Male,3,3,4,2,,,,,,,Morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,Morning,4,,Morning,,,,,,,,,,
2/16/2026 9:03:47,46 - 55,Male,5,5,5,5,3,3,5,3,4,5,Morning,2,3,3,3,4,5,4,4,3,4,4,3,Afternoon,5,5,4,5,4,Afternoon,5,5,5,4,3,Night,5,5,,5,Night,4,5,5,5,4,4,Afternoon,5,5,3,,Afternoon,5,5,5,5,5,Night,5,5,Afternoon,,,,,,,,,,
2/16/2026 13:09:38,18 - 24,Female,,,,,3,,,,,4,Afternoon,,,,,,,,,,,,,,,,2,2,,Morning,,,,,,,,1,,,Morning,,2,2,3,,,Afternoon,,,,,,1,,,,,,5,5,Morning,,,,,,,,,,
2/16/2026 13:10:48,18 - 24,Female,,,,2,2,,,,,5,Afternoon,,,,,,,,,3,,,,Afternoon,,3,5,3,,Afternoon,,,,,,,,4,,,Night,,,,,,,,,,,,,,,,,,,5,5,Morning,,,,,,,,,,
2/16/2026 13:31:51,18 - 24,Female,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2026 13:45:13,56 +,Female,1,,5,3,2,3,,,,,Afternoon,,,,,2,2,3,1,,,,,Afternoon,,,,,,,3,,2,,,Night,,,,,,,,,,,,,,,,,,,5,,,,Night,,2,Morning,,,,,,,,,,
2/16/2026 13:55:33,56 +,Male,3,,5,2,2,2,,,,,Morning,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,Night,,,,,,,,,,,,,,,,,,,3,3,Morning,,,,,,,,,,
2/16/2026 14:27:42,18 - 24,Female,1,,,,1,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,2,,,,,,,,,,,
2/16/2026 14:30:59,18 - 24,Male,,,,3,4,,,,,4,Morning,4,,,,,,,,,,,,Morning,,,,,,,,,,,,,,,,,,,,3,,,,Morning,,5,,,Morning,,5,,,,Night,4,5,Afternoon,,,,,,,,,,
2/16/2026 17:46:46,56 +,Female,5,3,5,5,5,5,,,,4,Morning,4,4,,,,,,,,,,,,5,5,,,,Morning,5,5,5,5,5,Morning,,5,5,,Morning,,,,,,,,,,,,,5,5,5,,,Night,5,5,Night,,,,,,,,,,
2/16/2026 21:21:46,56 +,Female,,,4,4,3,5,,,,,Morning,,,,,,,,,,,,,,,,,,,,3,,3,,3,Afternoon,,,,,,,,,,,,,,,,,,,,,,,,4,4,Afternoon,,,,,,,,,,
2/17/2026 9:07:12,46 - 55,Female,,,,3,,,,,,,Afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,1,2,Night,,2,Afternoon,,,,,,,,,,
2/17/2026 9:36:48,18 - 24,Male,2,1,2,5,5,2,,4,,4,Morning,,,,,,,,,,,,,,4,5,4,4,1,Afternoon,,,4,4,,Night,,,,,,2,2,4,4,4,3,Morning,2,2,,2,Afternoon,2,4,1,1,1,Night,2,4,Night,,,,,,,,,,
2/17/2026 9:39:53,<18,Male,1,1,1,2,3,1,,,,3,Morning,,,,,,,,,,,,,,2,4,5,5,,Afternoon,,,4,4,,Night,,,,,,4,4,5,5,4,3,Afternoon,5,2,,2,Afternoon,3,5,3,3,4,Night,2,3,Afternoon,,,,,,,,,,
2/17/2026 11:05:52,25 - 35,Male,4,4,5,2,1,1,1,3,2,1,Morning,1,1,1,1,2,2,1,2,1,1,1,1,Morning,3,1,1,1,3,Afternoon,1,1,1,1,1,Morning,,3,,4,Night,,,,,,,,,,,,,3,5,,,,Night,,2,Night,,,,,,,,,,
2/17/2026 11:16:56,18 - 24,Male,4,5,4,3,3,3,1,,,,Afternoon,4,,,,,,,,,,,,Afternoon,4,4,4,,5,Morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,Night,,,,,,,,,,
2/17/2026 11:25:51,36 - 45,Female,1,1,2,4,5,4,2,1,1,1,Morning,,,,,,,,,,,,,,,,3,3,,Afternoon,,,,,,,,,,,,,,5,4,,,Morning,,,,,,5,5,5,5,1,Night,4,4,Afternoon,,,,,,,,,,
2/17/2026 11:29:34,46 - 55,Male,5,5,5,2,4,4,1,,,,Morning,,,,,,,,,,,,,,4,4,2,1,,Afternoon,,,,,,,,3,4,,Morning,,,2,4,,4,Afternoon,,,,,,4,5,5,5,,Night,5,5,Afternoon,,,,,,,,,,
